NodeID,Day,Room,Fraction,Patients,Weighted_Contrib
6beb8eafd267810010961ab01be752c2,2,5,0.046672,10;31;33;106;129;136;154;164;166;179;198;216;240,0.606733
cac26c82845114761ae4e6d5874c55ab,2,5,0.102045,50;54;59;82;89;101;107;109;111;142;184;209,1.224537
bed5467bc0c55981f3b10a1aa4d76421,2,5,0.142465,74;80;87;96;110;112;150;209;245;247,1.424648
f2bc9d56853748efcfa582675a7dad15,2,5,0.033705,16;18;78;102;184;199;201;222;237;245,0.337051
286a5eb8f53ee85b594a2ab7d3cbbe3c,2,0,0.075184,58;76;150;209;239;241,0.451105
f6481757f5b5781a5f0a25f1fdf08795,2,0,0.180299,4;23;58;73;224,0.901495
40e7ac55be8dee8fb477aacdd8e7b85a,2,0,0.060962,34;38;114;147;184;235;241,0.426732
5675bc4d538c7151889fc95e665477d9,2,0,0.096650,19;66;77;129;178;244,0.579900
4b1b3aece38639082e8149d2fb702cc2,2,0,0.062083,3;18;117;143;147;184;213,0.434579
44bb2ade9eebaad28be9d4edaadd0ac1,2,0,0.023102,35;38;178;186;189;227,0.138613
0b7554fce56517d1dfed44852ebe499b,2,0,0.149347,48;83;113;124;222,0.746733
67c6979725cce44dce49bd51fe6e8d7b,2,0,0.219832,49;58;61;94;151;186;203,1.538825
f345adf3f934eedf9f66e85794592e49,2,0,0.132541,3;19;58;93;130;136,0.795249
544f6f34c2e2f66a77138b9570486020,4,4,0.075701,112;125;135;146;153;154;190;198;208;213;215,0.832706
0d43da63b94c5fe7fc856bc56107f5d6,4,4,0.068791,11;44;64;82;107;111;123;156;238;240;247,0.756697
93a6762bd7a30ab2741f9759930a5cf6,4,4,0.014429,14;22;28;39;48;106;110;163;172;185,0.144294
a1828d441e53ab06f578088835a4a1ce,4,4,0.055476,16;31;45;59;67;96;186;222;229;231;236,0.610232
2d3c9735e3ea7b26b673c3377670280d,4,4,0.118774,11;60;82;96;97;179;214;215;225,1.068963
6a4ddff3e02e26837fe6bc197173d805,4,4,0.034986,2;14;67;95;96;139;177;180;201,0.314871
7f24acac5fca21a84fb5651bb7dc5100,4,4,0.219028,56;106;136;139;157;179;184;199;202,1.971255
34eb1886ad2bdf2a4df3bc40adf2c2c8,4,4,0.076085,37;45;55;117;118;120;127;145;146;195;214,0.836932
4a1cfba6e82b4c173b909d0f512e9124,4,4,0.231721,6;18;20;29;65;91;105;125;142;181;236;242,2.780650
c47e0e4616e894e21240cce386f9ba97,4,4,0.074801,7;28;32;37;70;80;121;150;158;163,0.748009
b6973437df5e0466dda69df86bd261ad,4,4,0.030209,25;80;88;105;118;167;175;180;213;215;247,0.332304
0bae17027c489c19f05b9dbb8922ffe1,0,4,0.071805,9;70;125;150;167;175;181;205;234;237;238,0.789860
212eb6650451ac296a78f362a36116a7,0,4,0.084136,7;10;46;74;100;144;175;184;231;237,0.841363
a5d16d457b7d786a9d417b3996f5c19e,0,4,0.140211,91;139;167;171;173;192;201;205;242;247,1.402111
f96bd4c5e1e359e6c1887b9019b9bfce,0,4,0.155031,24;37;48;53;79;86;100;247,1.240249
6fa5f307c52f3d7d9e41cf99ff9f859f,0,4,0.065006,41;60;172;208;211;225;240;244,0.520052
96737a3c12d16ffbcf46e81afb099276,0,4,0.004390,13;31;39;65;80;88;154;169;237,0.039511
2ad6f32ffcc94724bc4706dc5773d598,0,4,0.265165,36;45;46;52;72;120;185;208;230,2.386484
cf0a9a86b0c942bf1b9323d64c2e763a,0,4,0.109188,48;68;70;75;80;134;181;216;217;223,1.091875
63162f747e59e6071b8d2186180672b9,0,4,0.081223,6;26;39;56;60;107;170;179;180;242,0.812229
b12dcfbb994a3026aeaf91336d9660cf,0,4,0.023844,7;50;95;148;156;164;185;186;222;232,0.238440
dcd6c184bc735da7caf4c2628805dc60,1,3,0.138866,40;65;71;109;119;140;158;161;170;190,1.388656
f402d93acb4f6714155509c8dd0f5bee,1,3,0.090571,34;71;75;85;121;146;164;185;193;210,0.905706
cb2c885f7a1a6c8ecac1d53b3db03447,1,3,0.138644,34;47;68;97;109;140;161;166;177;234,1.386440
e3e7d00ab98b4020f2676d63cae8a1a3,1,3,0.061128,20;21;47;78;142;191;231;242;247;248,0.611278
022e861e4943835032b4a736d974b92c,1,3,0.055628,15;21;27;45;55;177;213;229;234,0.500650
1850219c553bb85f3aeaa4b036510d15,1,3,0.019809,16;18;88;102;116;135;172;218;223;247,0.198090
9767a69157740d7d79ca54241ba32351,1,3,0.114525,10;34;39;56;119;153;156;158;205;210;234,1.259780
7213212851db4e91f947a30969b77a37,1,3,0.132563,6;22;36;71;77;111;136;157;191,1.193069
bf4d9dbb24460cde228297cf1dc69329,1,3,0.040553,0;9;41;49;52;87;100;116;156;236,0.405527
49a07c0b1def25cf0d07e15e33a05e76,1,3,0.074568,18;26;51;129;148;163;176;205;237,0.671114
67d448c3ad8c7175f247d05d2ff8cf2a,1,3,0.076935,11;33;40;85;91;95;133;155;158;180;185;210,0.923225
cd2fb1ade62f1c626d95ece0b3a49043,1,3,0.056210,0;39;49;108;125;176;179;192;216,0.505890
7fce66e7f730d09921a7a910db448822,2,3,0.057801,41;51;95;121;153;191;193;199;226,0.520207
a0975bd26cf933d31be30a9abf08301a,2,3,0.002586,13;27;65;69;105;115;125;172;214;225,0.025861
66d364a483010ea0179aef54123fbb7e,2,3,0.051440,49;69;74;79;106;195;205;213;231,0.462964
